	COD	UF	Renda(Total)	Renda(Beneficios)	Total(%)	Beneficio(>Sal)	Beneficio(>Sal)(%)	Beneficio(<=Sal)	Beneficio(<=Sal)(%)
189	ap	1600550	219649.55568499	32811.39720039	0.1493806673000805	22241.23524136	0.10125782031290437	10570.16195903	0.04812284698717615
190	ap	1600303	71902060.5648483	7249977.03361862	0.10083128322977451	6061281.63849736	0.08429913678246681	1188695.39512125	0.016532146447307564
191	ap	1600204	807996.060997171	72534.13782427	0.08977041018585358	34313.2025132	0.042467041820541916	38220.93531107	0.047303368365311654
192	ap	1600279	4497340.40411213	163286.59199662	0.0363073677605812	46530.71554504	0.010346273878333687	116755.87645158	0.025961093882247516
193	ap	1600535	1675744.13179635	148036.38982632	0.08834068818586832	88666.34838216	0.05291162696008501	59370.04144416	0.03542906122578332
194	ap	1600501	3442658.75965073	140370.49768031	0.04077386330748363	90603.41447633	0.026317860933019698	49767.08320398	0.01445600237446393
195	ap	1600055	439522.70392867	21809.84789029	0.049621663898913204	5650.8125796	0.012856702348002185	16159.03531069	0.036764961550911024
196	ap	1600154	382215.36158795	35108.83387595	0.09185615599040031	16030.65229056	0.041941412882933675	19078.18158539	0.049914743107466644
197	ap	1600212	279649.97414407	21853.9082529	0.07814736375280804	6405.27661681	0.0229046208082613	15448.63163609	0.05524274294454674
198	ap	1600709	669710.58871317	61848.11497497	0.09235051082857955	34102.24631975	0.05092087073802506	27745.86865522	0.0414296400905545
199	ap	1600105	994021.133789061	96778.04941934	0.09736015274689024	62733.50331566	0.06311083455190655	34044.54610368	0.03424931819498368
200	ap	1600253	254947.55492676	16159.47009594	0.0633835068572523	9797.501556	0.03842947840317423	6361.96853994	0.024954028454078066
201	ba	2901502	591392.68824144	204526.96228666	0.345839518061746	31603.76191608	0.053439554706123715	172923.20037058	0.29239996335562224
202	ba	2909505	375132.82560918	93033.33799559	0.24800105894362273	22553.1622265	0.060120471168780845	70480.17576909	0.18788058777484187
203	ba	2915809	2382161.99720827	436333.22409541	0.18316689822386664	65374.58112457	0.027443381768823664	370958.64297084	0.15572351645504295
204	ba	2931806	1675076.99244001	511842.08452523	0.30556331848344026	110027.11882949	0.06568481289282017	401814.96569574	0.2398785055906201
205	ba	2919157	2538557.52350748	397755.95160896	0.15668581386305858	57729.58030104	0.022741095983232262	340026.37130792	0.13394471787982634
206	ba	2921005	4198123.69461365	939658.61284419	0.2238282340393655	648628.13007389	0.15450429221656906	291030.4827703	0.06932394182279646
207	ba	2906709	3160620.79734272	521104.89662688	0.16487422251508216	61241.92021325	0.01937654788095393	459862.97641363	0.14549767463412822
208	ba	2924405	1433751.9377845	512184.73232468	0.3572338553321376	31719.22919618	0.022123233706099834	480465.5031285	0.3351106216260378
209	ba	2924678	672964.10203786	140301.18673105	0.20848242321721472	21946.82454375	0.032612177198294755	118354.3621873	0.17587024601891996
210	ba	2910602	2278262.86052586	552753.50652012	0.242620601905671	201542.52303082	0.08846324387006894	351210.9834893	0.1541573580356021
