,UF,COD,Gini_RD,Gini_RP,RendaMedia,RendaMedia2010
368,BA,2929800,0.5330108907836435,0.43200761220021966,76.18,151.75
369,BA,2910701,0.5442474847878975,0.45600364500230983,78.72,156.8
370,BA,2929206,0.6050568997046608,0.5234744290579219,133.28,265.49
371,BA,2900801,0.5343983532973557,0.4739499712173302,116.32,231.69
372,BA,2922805,0.5400903736878313,0.41626026804831406,72.16,143.74
373,BA,2903102,0.5478697026958596,0.4427936559107235,79.76,158.87
374,BA,2906402,0.48870108012720515,0.3969265182798676,69.27,137.98
375,BA,2916302,0.5047161856956242,0.4127872453333854,87.0,173.29
376,BA,2918209,0.4729392234826293,0.45037037066665775,92.3,183.85
377,BA,2929057,0.5413304998542541,0.47401873585706134,100.26,199.71
378,BA,2925253,0.5432538749933955,0.4303436967272454,58.95,117.43
379,BA,2922607,0.47747103621926035,0.42663306712711413,70.92,141.27
380,BA,2902708,0.6034401143598236,0.44318255634823533,56.25,112.05
381,BA,2929701,0.5475365055688053,0.4404045599922639,49.22,98.04
382,BA,2902302,0.5213350358450695,0.4845684569162899,83.22,165.76
383,BA,2907509,0.5883655643235521,0.5292735400314044,139.91,278.68
384,BA,2913457,0.5144314101182133,0.37915646835028716,63.89,127.26
385,BA,2921500,0.5654009109389606,0.3924489450747696,47.27,94.17
386,BA,2913002,0.49078044133042853,0.4177282350623772,83.42,166.17
387,BA,2924702,0.5050353270321698,0.4034317962059043,74.43,148.25
388,BA,2922250,0.550584093784823,0.5088833692433816,80.4,160.15
389,BA,2918357,0.5263273978114392,0.47163265916560637,98.53,196.27
390,BA,2902609,0.5209368148445959,0.41672289269997786,73.21,145.82
391,BA,2911501,0.5113559291025445,0.32873977876106564,57.77,115.08
392,BA,2904308,0.46642993841033564,0.4179697856017631,102.07,203.32
393,BA,2910008,0.46713488119217117,0.3623789593118014,52.99,105.55
394,BA,2913101,0.5096793902727965,0.4757504588779412,84.19,167.7
